Counter,County,Political_Party
1,Adams County,Republican
2,Asotin County,Republican
3,Benton County,Republican
4,Chelan County,Republican
5,Clallam County,Democratic
6,Clark County,Democratic
7,Columbia County,Republican
8,Cowlitz County,Republican
9,Douglas County,Republican
10,Franklin County,Republican
11,Grant County,Republican
12,Grays Harbor County,Republican
13,Island County,Democratic
14,Jefferson County,Democratic
15,King County,Democratic
16,Kitsap County,Democratic
<<<<<<< HEAD
17,Kittitas County,
18,Klickitat County,
19,Lewis County,
20,Mason County,
21,Okanogan County,
22,Pacific County,
23,Pend Oreille County,
24,Pierce County,
25,San Juan County,
26,Skagit County,
27,Skamania County,
28,Snohomish County,
29,Spokane County,
30,Stevens County,
31,Thurston County,
32,Wahkiakum County,
33,Walla Walla County,
34,Whatcom County,
35,Whitman County,
36,Yakima County,
=======
17,Kittitas County,Republican
18,Klickitat County,Republican
19,Lewis County,Republican
20,Mason County,Republican
21,Okanogan County,Republican
22,Pacific County,Democratic
23,Pend Oreille County,Republican
24,Pierce County,Democratic
25,San Juan County,Democratic
26,Skagit County,Democratic
27,Skamania County,Republican
28,Snohomish County,Democratic
29,Spokane County,Republican
30,Stevens County,Republican
31,Thurston County,Democratic
32,Wahkiakum County,Republican
33,Walla Walla County,Republican
34,Whatcom County,Democratic
35,Whitman County,Democratic
36,Yakima County,Republican
>>>>>>> 9b0354ac58347304c249ea75d17fca49a4d814be
